Date,Day of the Week,Amount
6/18/2019,3,22.9
6/16/2019,1,25.15
6/14/2019,6,41.55
6/11/2019,3,101.32
6/10/2019,2,10.99
6/6/2019,5,30.59
6/6/2019,5,103
6/6/2019,5,16.59
6/3/2019,2,22.19
5/28/2019,3,7.59
5/27/2019,2,131.15
5/26/2019,1,12.37
5/20/2019,2,18.51
5/20/2019,2,88.66
5/17/2019,6,25.1
5/14/2019,3,17.61
5/13/2019,2,72.83
5/13/2019,2,4.58
5/11/2019,7,20.44
5/10/2019,6,38.79
5/10/2019,6,7.86
5/8/2019,4,11.87
5/7/2019,3,10.77
5/6/2019,2,51.24
5/5/2019,1,16.93
5/4/2019,7,10.67
5/2/2019,5,18.87
5/1/2019,4,10.17
4/30/2019,3,104.44
4/29/2019,2,11.75
4/29/2019,2,25.14
4/25/2019,5,13.28
4/23/2019,3,13.35
4/21/2019,1,19.24
4/18/2019,5,18.39
4/14/2019,1,17.88
4/14/2019,1,102.89
4/12/2019,6,38.04
4/8/2019,2,39.78
4/7/2019,1,12.74
4/5/2019,6,36.26
4/4/2019,5,29.2
4/3/2019,4,116.14
4/2/2019,3,11.47
3/31/2019,1,8.48
3/25/2019,2,29.93
3/24/2019,1,41.63
3/20/2019,4,93.87
3/19/2019,3,8.88
3/14/2019,5,18.88
3/12/2019,3,8.98
3/12/2019,3,13.16
3/10/2019,1,62.32
3/9/2019,7,9.9
3/6/2019,4,4.98
3/5/2019,3,73.15
3/4/2019,2,48.9
3/4/2019,2,8.58
3/3/2019,1,10.53
